ticker,name,sector,sector_pe,last_updated,price,price_1m_ret,price_3m_ret,price_6m_ret,low_52w,high_52w,pct_above_52w_low,price_trend,volume_trend,pe,pb,roe,roce,de,revenue_growth,market_cap_cr,screener_url,fii_pct,dii_pct,promoter_pct,fii_q1,fii_q2,fii_q3,fii_q4,dii_q1,dii_q2,dii_q3,dii_q4,fii_selling_4q,dii_buying_4q,fii_trend_pct,dii_trend_pct,fii_label,dii_label,fair_value,buy_zone_low,buy_zone_high,strong_buy_below,value_signal,valuation_methods,composite_score,grade,rank,score_value,score_quality,score_momentum,score_smartmoney,rank_value,rank_quality,rank_momentum,rank_smartmoney,scrape_status,pillar_value,exported_at
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Miscellaneous,22.0,2026-09-25 00:49,1372.7,-0.17,29.97,41.52,687.91,1626.4,99.55,Rising,Normal,4.9,0.0,31.8,34.9,0.0,20.66,20441.0,https://www.screener.in/company/CHENNPETRO/consolidated/,11.37,1.76,67.29,11.37,14.7,15.86,15.77,1.76,1.24,0.75,0.79,0,0,-4.4,0.97,Stable,Stable/Reducing,6163.14,4930.51,5546.83,4314.2,STRONG BUY,PE Mean Reversion: ₹6163.14 | 52W Low Buffer: ₹791.1,76.8,A+,1,56.0,95.3,91.19999999999999,64.0,83,3,12,80,done,92.0,2026-09-25 01:06
ALEMBICLTD.NS,Alembic Limited,Pharmaceuticals,28.0,2026-09-25 00:58,107.18,8.59,20.23,40.42,69.04,111.41,55.23,Rising,Rising,8.58,0.0,13.0,6.07,0.0,-0.42,2752.0,https://www.screener.in/company/ALEMBICLTD/consolidated/,0.85,3.4,70.88,0.85,0.89,1.07,1.42,3.4,0.04,0.04,0.04,1,1,-0.57,3.36,Selling (-0.6% over 4Q),Accumulating (+3.4% over 4Q),349.77,279.82,314.79,244.84,STRONG BUY,PE Mean Reversion: ₹349.77 | 52W Low Buffer: ₹79.4,73.3,A,2,60.199999999999996,44.2,100.0,100.0,68,231,1,1,done,93.05,2026-09-25 01:06
CMLL.NS,Caliber Mining and Logistics Limited,Logistics,22.0,2026-09-25 00:57,506.25,-0.54,0.0,0.0,470.8,599.45,7.53,Stable,Rising,21.2,0.0,34.8,21.2,0.0,17.34,3310.0,https://www.screener.in/company/CMLL/consolidated/,1.7,12.93,74.18,1.7,0.0,0.0,0.0,12.93,0.0,0.0,0.0,0,1,1.7,12.93,Buying (+1.7% over 4Q),Accumulating (+12.9% over 4Q),541.42,433.14,487.28,378.99,FAIR VALUE,PE Mean Reversion: ₹525.35 | 52W Low Buffer: ₹541.42,70.8,A,3,60.0,86.0,50.0,80.0,71,11,83,15,done,93.0,2026-09-25 01:06
BEPL.NS,Bhansali Engineering Polymers Limited,Engineering,28.0,2026-09-25 00:57,127.09,-0.98,30.71,52.61,75.91,133.84,67.42,Rising,Normal,15.8,0.0,17.3,23.8,0.0,12.85,3163.0,https://www.screener.in/company/BEPL/consolidated/,0.95,0.04,57.48,0.95,1.13,1.12,2.09,0.04,0.05,0.06,0.07,0,0,-1.14,-0.03,Stable,Stable/Reducing,225.22,180.18,202.7,157.66,STRONG BUY,PE Mean Reversion: ₹225.22 | 52W Low Buffer: ₹87.3,70.3,A,4,60.199999999999996,77.30000000000001,91.19999999999999,55.199999999999996,68,41,12,190,done,93.05,2026-09-25 01:06
BHARATWIRE.NS,Bharat Wire Ropes Limited,Miscellaneous,22.0,2026-09-25 01:03,,,,,153.96,252.83,,Stable,Normal,11.8,0.0,42.2,18.7,0.0,5.6,1137.0,https://www.screener.in/company/BHARATWIRE/consolidated/,1.1,2.7,39.83,1.1,1.39,3.0,3.08,2.7,2.63,2.62,2.61,1,1,-1.98,0.09,Selling (-2.0% over 4Q),Accumulating (+0.1% over 4Q),177.05,141.64,159.35,123.94,OVERVALUED +nan%,52W Low Buffer: ₹177.05,69.4,A,5,70.0,75.5,45.0,80.8,18,53,149,11,done,95.5,2026-09-25 01:06
BPCL.NS,Bharat Petroleum Corporation Limited,Miscellaneous,22.0,2026-09-25 00:44,307.1,-3.43,-0.86,7.38,271.3,388.3,13.2,Stable,Normal,8.6,0.0,28.8,25.6,0.0,8.51,133236.0,https://www.screener.in/company/BPCL/consolidated/,13.01,22.53,52.98,13.01,14.21,16.79,15.04,22.53,22.13,21.3,21.31,0,0,-2.03,1.22,Stable,Stable/Reducing,785.6,628.48,707.04,549.92,STRONG BUY,PE Mean Reversion: ₹785.6 | 52W Low Buffer: ₹312.0,69.1,A,6,78.4,82.69999999999999,50.300000000000004,58.4,10,18,81,162,done,97.6,2026-09-25 01:06
CRIZAC.NS,Crizac Limited,Miscellaneous,22.0,2026-09-25 00:57,,,,,160.29,312.52,,Stable,Normal,14.8,0.0,40.3,52.3,0.0,-0.77,3256.0,https://www.screener.in/company/CRIZAC/consolidated/,2.99,7.05,79.94,2.99,3.74,2.48,2.3,7.05,3.8,3.48,3.48,0,1,0.69,3.57,Buying (+0.7% over 4Q),Accumulating (+3.6% over 4Q),184.33,147.47,165.9,129.03,OVERVALUED +nan%,52W Low Buffer: ₹184.33,68.6,A,7,62.0,80.19999999999999,45.0,80.0,55,36,149,15,done,93.5,2026-09-25 01:06
ALLDIGI.NS,Alldigi Tech Limited,IT,28.0,2026-09-25 01:02,,,,,678.53,917.01,,Stable,Normal,12.8,0.0,31.5,27.9,0.0,1.0,1176.0,https://www.screener.in/company/ALLDIGI/consolidated/,0.06,1.02,73.39,0.06,0.09,0.11,0.56,1.02,1.12,1.25,1.25,1,0,-0.5,-0.23,Selling (-0.5% over 4Q),Stable/Reducing,780.31,624.25,702.28,546.22,OVERVALUED +nan%,52W Low Buffer: ₹780.31,67.9,A,8,70.0,80.8,45.0,68.8,18,27,149,48,done,95.5,2026-09-25 01:06
ANANDRATHI.NS,Anand Rathi Wealth Limited,Finance,18.0,2026-09-25 00:47,2167.4,-0.55,12.16,43.68,1400.43,2229.5,54.77,Rising,Normal,77.4,0.0,47.3,59.2,0.0,-4.47,35988.0,https://www.screener.in/company/ANANDRATHI/consolidated/,1.84,10.26,48.69,1.84,3.01,4.86,5.02,10.26,9.16,8.78,8.32,1,1,-3.18,1.94,Selling (-3.2% over 4Q),Accumulating (+1.9% over 4Q),1610.49,1288.4,1449.45,1127.35,OVERVALUED +34.6%,PE Mean Reversion: ₹504.05 | 52W Low Buffer: ₹1610.49,67.4,A,9,25.8,80.19999999999999,83.2,80.8,292,36,28,11,done,84.45,2026-09-25 01:06
CSM.NS,CSM Technologies Limited,IT,28.0,2026-09-25 01:06,,,,,83.05,109.34,,Stable,Rising,21.1,0.0,28.5,29.2,0.0,13.57,524.0,https://www.screener.in/company/CSM/consolidated/,9.19,3.63,71.18,9.19,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0,1,9.19,3.63,Buying (+9.2% over 4Q),Accumulating (+3.6% over 4Q),95.51,76.41,85.96,66.86,OVERVALUED +nan%,52W Low Buffer: ₹95.51,67.3,A,10,54.0,82.69999999999999,50.0,76.0,84,18,83,21,done,91.5,2026-09-25 01:06
