S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
1,Sanofi Consumer,4595.3,3894.04,10583.26,35.18,45.03,27.56,,113.29,68.09,,,,,,,152.07
2,Wework India,535,227.51,7242.72,63.7,31.02,34,0.98,,3.57,,,35.27,22.95,31.51,20.61,137.07
3,Aqylon Nexus,47.53,,1205.98,4.09,,,,,-6.59,,,,,23.78,13.84,131.18
4,Indosolar,454.2,1817.51,1889.64,39.82,7.66,6.58,0.03,150.63,84.28,,,,,230.81,101.26,123.8
5,Tips Music,665.15,389.54,8502.72,73.44,39.23,32.71,0.94,92.33,61.8,85.73,79.65,26.21,32.91,41.58,38.14,122.19
6,PNGS Reva Diamo.,396.9,,1258.11,30.84,15.65,,,245.41,33.71,,,,,,,115.07
7,P & G Hygiene,10300,2465.15,33434.56,26.78,38.9,35.9,-46.31,75.67,32.72,78.55,68.07,-1.9,2.75,-0.84,8.44,103.79
8,Safe Enterprises,241.3,608.42,1124.57,35.97,20.27,4.93,,77.55,50.13,,,,,,,96.45
9,Waaree Renewab.,1028.15,1954.05,10728.31,19.24,22.41,11.48,0.21,68.89,27.4,70.48,70.87,111.73,203.3,105.48,189.68,83.61
10,RRP Defense,773.95,39.37,1061.77,23.43,491.56,69.95,1.73,87.02,14.46,52.68,38.77,207.33,66.77,284.85,158.76,82.72
11,RRPSemiconductor,9639.05,,13132.24,-689.02,,1404.52,,208.63,41.52,,,,,397.13,179.71,80.21
12,Oswal Pumps,399.75,1802.6,4556.25,25.77,13.05,3.04,0.08,87.5,35.49,81.04,,58.33,,155.09,,77.91
13,GK Energy,126.41,520.28,2563.81,19.54,13.82,3.29,0.04,100.52,33.4,97,,149.56,,340.37,,74.29
14,Shilchar Tech.,5016.3,5405.87,5738.75,31.38,31,13.67,0.26,52.93,37.64,51.88,44.33,51.23,54.29,118.9,151.28,71.3
15,Meghna Infracon,708.75,51.59,1539.67,28.27,210.63,62.84,,52.57,34.74,,,,,,,70.09
16,Esab India,5909.1,2367.3,9095.89,18.43,46.48,21.83,1.67,52.34,29.15,54.13,43.15,15.29,14.5,27.78,19.74,70.03
17,Network People,1212.6,1005.39,2528.35,29.15,73.12,6.07,0.35,56.01,40.09,52.71,47.83,108.03,62.71,211.18,112.63,69.23
18,Dam Capital Advi,157.35,360.81,1112.24,52.26,13.78,3.59,0.2,49.22,33.97,42.97,34.19,38.41,39.96,68.06,70.15,64.78
19,Glaxosmi. Pharma,2472,564.85,41877.17,33.98,41.64,24.52,-2.12,46.87,22.8,36.39,44.83,4.58,3.06,-19.63,43.47,63.25
20,Castrol India,182.79,117.52,18080.17,23.55,18.87,9.51,3.28,45.86,27.26,43.4,44.84,6.22,13.81,5.75,10.45,60.27
21,Ingersoll-Rand,4216,1239.02,13309.07,24.58,48.07,20.47,1.39,45.01,30.02,38.69,32.2,13.67,13.62,34.48,26.3,60.02
22,Page Industries,37665,8345.94,42011.07,22.14,54.22,29.81,5.04,48.54,27.38,44.34,45.37,8.29,10.87,10.75,16.26,59.4
23,Websol Energy,110.85,61.38,4812.7,43.94,20.93,11.95,0.13,80.17,35.66,23.2,16.45,39.23,24.1,159.78,68.54,59.25
24,Swaraj Engines,3863,3499.44,4693.49,13.56,23.61,9.6,1.65,43.79,27.4,41.64,40.79,12.18,15.26,14.29,16.65,58.72
25,Sanofi India,3427.6,1532.82,7893.76,26.74,22.79,10.52,-1.75,43.03,24.17,47.75,36.5,-12.79,-8.74,-13,-7.38,57.51
26,Anand Rathi Wea.,3580.9,1323.57,29728.86,42.6,75.95,29,2.34,45.3,34.03,42.24,41.12,27.24,33.61,32.52,54.69,57.47
27,Tenneco Clean,553.85,130.2,22353.62,16.67,39.57,24.37,,42.63,22.27,37.55,,,,,,57.3
28,Tata Tele. Mah.,44.63,,8724.84,53.87,,,,,-65.81,,,1.6,2.14,7.49,5.17,56.7
29,One Global Serv,556.35,1250.19,1087.27,19.77,17.52,10.73,0.11,42.31,26.38,44.15,43.25,189.11,,158.89,128.82,56.38
30,Gillette India,8095.5,2488.13,26383.23,28.99,42.52,22.69,4.03,41.62,21.84,38.62,36.06,4.09,3.72,10.56,10.45,56.06
31,Shakti Pumps,545.25,907.89,6728.27,20.06,20.42,4.14,0.24,42.64,23.88,29.45,27.28,28.77,45.73,84.74,98.77,55.31
32,Cams Services,760.8,332.8,18866.66,45.61,42.47,16.7,2.91,43.94,30.6,41.63,43.5,15.59,15.06,14.61,21.96,54.75
33,International Ge,347.6,407.56,15021.87,59.94,28.26,10.66,0.94,43,32.62,52.48,,35.78,,30.04,,53.62
34,Accelya Solution,1160.3,979.69,1731.89,35.49,15.29,6.59,0.82,45.47,29.61,43.97,36.5,12.8,5.11,18.76,8.03,53.61
35,Sathlokhar Sys.,404.8,1017.17,1051.61,14.26,15.12,4.88,0.06,40.17,23.14,51.1,46.83,89.71,43.75,264.94,79.58,53.42
36,Saatvik Green,453,1420.9,5757.86,15.28,14.69,4.79,,94.06,18.54,100.25,,,,,,52.33
37,Indian Energy Ex,123.23,103.46,10988.33,84.46,23.2,8.41,1.18,39.4,20.9,39.78,40.44,14.92,13.92,19.63,17.82,51.79
38,Alpex Solar,1035.75,1697.39,2645.62,15.13,14.28,5.59,0.01,47.72,23.71,37.23,30.74,67.65,51.35,1106.25,93.79,50.48
39,Jeena Sikho,633.7,438.79,7876.94,43.93,38.58,22.28,0.38,37.93,32.16,40.07,40.34,47.41,37.81,102.17,72.79,50.24
40,Atlanta Electric,1778.5,830.66,13676.06,17.62,87.57,17.4,0.97,40.8,16.64,39.19,33.34,27.86,18.82,89.88,56.25,50.2
41,Jyoti Resins,856.9,2184.59,1028.28,28.01,14.76,4.06,0.25,37.35,22.39,44.82,42.74,16.01,31.04,58.98,56.41,49.98
42,Euro Pratik Sale,266.84,213.4,2727.1,33.72,37.18,10.21,,39.36,34.1,,,,,,,49.53
43,I R C T C,541.2,406.74,43296,32.89,31.32,10.16,1.27,37.16,19.87,40.37,36.82,35.51,15.6,24.57,20.04,49.03
